Section,Subsection,Name,Cost (MiB),Description
science,all,science-highenergy-physics,1,Debian Science High Energy Physics packages
science,all,science-imageanalysis,1,Debian Science image analysis packages
science,all,science-imageanalysis-dev,1,Debian Science development of image analysis applications
science,all,science-linguistics,1,Debian Science Linguistics packages
science,all,science-logic,1,Debian Science Logic packages
science,all,science-mathematics,1,Debian Science Mathematics packages
science,all,science-meteorology,1,Debian Science Meteorology packages
science,all,science-nanoscale-physics,1,Debian Science Nanoscale Physics packages
science,all,science-neuroscience-cognitive,1,Debian Science packages for Cognitive Neuroscience
science,all,science-neuroscience-modeling,1,Debian Science packages for modeling of neural systems
science,all,science-physics,1,Debian Science Physics packages
science,all,science-presentation,1,Debian Science generic tools for presentations
science,all,science-psychophysics,1,Debian Science packages for Psychophysics
science,all,science-robotics,1,Debian Robotics packages
science,all,science-simulations,1,Debian Science Simulation packages
science,all,science-statistics,1,Debian Science Statistics packages
science,all,science-typesetting,1,Debian Science typesetting packages
science,all,science-viewing,1,Debian Science data visualisation packages
science,all,science-workflow,1,workflow management systems useful for scientific research
science,biology,avida-base,N/A,N/A
science,biology,bauble,N/A,N/A
science,biology,critterding,2,Evolving Artificial Life
science,biology,genesis,N/A,N/A
science,biology,med-bio,1,Debian Med bioinformatics packages
science,biology,med-bio-dev,1,Debian Med packages for development of bioinformatics applications
science,chemistry,adun.app,25,Molecular Simulator for GNUstep (GUI)
science,chemistry,apbs,230,Adaptive Poisson Boltzmann Solver
science,chemistry,avogadro,35,Molecular Graphics and Modelling System
science,chemistry,bkchem,N/A,N/A
science,chemistry,bodr,1,Blue Obelisk Data Repository
science,chemistry,chemeq,1,Parser for chemical formula and equilibria
science,chemistry,chemical-mime-data,1,chemical MIME and file type support for desktops
science,chemistry,chemical-structures,5,web service providing molecular structures in open formats
science,chemistry,chemtool,14,chemical structures drawing program
science,chemistry,cp2k,47,Ab Initio Molecular Dynamics
science,chemistry,drawxtl,3,crystal structure viewer
science,chemistry,easychem,1,Draw high-quality molecules and 2D chemical formulas
science,chemistry,fdmnes,N/A,N/A
science,chemistry,gabedit,6,graphical user interface to Ab Initio packages
science,chemistry,galculator,0,scientific calculator
science,chemistry,gamgi,4,General Atomistic Modelling Graphic Interface (GAMGI)
science,chemistry,garlic,1,visualization program for biomolecules
science,chemistry,gausssum,28,"parse and display Gaussian, GAMESS, and etc's output"
science,chemistry,gchempaint,17,2D chemical structures editor for the GNOME2 desktop
science,chemistry,gcrystal,16,lightweight crystal structures visualizer
science,chemistry,gcu-bin,17,GNOME chemistry utils (helper applications)
science,chemistry,gcu-plugin,N/A,N/A
science,chemistry,gdis,2,molecular and crystal model viewer
science,chemistry,gdpc,1,visualiser of molecular dynamic simulations
science,chemistry,gdpc-examples,3,example files for the gdpc program
science,chemistry,gelemental,2,Periodic Table viewer
science,chemistry,ghemical,23,GNOME molecular modelling environment
science,chemistry,gperiodic,1,periodic table application
science,chemistry,gromacs,54,"Molecular dynamics simulator, with building and analysis tools"
science,chemistry,gromacs-mpich,11,"Molecular dynamics sim, binaries for MPICH parallelization"
science,chemistry,gromacs-openmpi,14,"Molecular dynamics sim, binaries for OpenMPI parallelization"
science,chemistry,jmol,43,Molecular Viewer
science,chemistry,kalzium,80,periodic table and chemistry tools
science,chemistry,katomic,21,atomix puzzle game
science,chemistry,libcdk-java,97,Chemistry Development Kit (CDK) Java libraries
science,chemistry,libegad,N/A,N/A
science,chemistry,libint,N/A,N/A
science,chemistry,libschroedinger-coordgenlibs-dev,N/A,N/A
science,chemistry,mmass,N/A,N/A
science,chemistry,mmass-modules,N/A,N/A
science,chemistry,molden,N/A,N/A
science,chemistry,molekel,N/A,N/A
science,chemistry,mopac7-bin,1,Semi-empirical Quantum Chemistry Library (binaries)
science,chemistry,mpqc,17,Massively Parallel Quantum Chemistry Program
science,chemistry,mpqc-support,24,Massively Parallel Quantum Chemistry Program (support tools)
science,chemistry,msxpertsuite,53,mass spectrometry software suite - metapackage
science,chemistry,openbabel,4,Chemical toolbox utilities (cli)
science,chemistry,openchrom,N/A,N/A
science,chemistry,openfoam,73,Open source toolbox for Computational Fluid Dynamics (CFD) - binaries
science,chemistry,pdb2pqr,4,Preparation of protein structures for electrostatics calculations
science,chemistry,psi3,6,Quantum Chemical Program Suite
science,chemistry,pyfai,130,Fast Azimuthal Integration scripts
science,chemistry,pymol,17,Molecular Graphics System
science,chemistry,python-pymzml-doc,9,mzML mass spectrometric data parsing - documentation
science,chemistry,python3-periodictable,4,Extensible periodic table of the elements (Python 3)
science,chemistry,python3-pymzml,15,mzML mass spectrometric data parsing (Python 3.x)
science,chemistry,qutemol,6,interactive visualization of macromolecules
science,chemistry,rasmol,3,visualization of biological macromolecules
science,chemistry,tandem-mass,1,mass spectrometry software for protein identification
science,chemistry,tinker,N/A,N/A
science,chemistry,v-sim,2,Visualize atomic structures
science,chemistry,viewmol,N/A,N/A
science,chemistry,xbs,1,3-d models and movies of molecules
science,chemistry,xdrawchem,5,Chemical structures and reactions editor
science,chemistry,xmakemol,2,program for visualizing atomic and molecular systems
science,chemistry,xmakemol-gl,2,program for visualizing atomic and molecular systems (OpenGL)
science,dataacquisition,binoculars,210,Surface X-ray diffraction 2D detector data reduction
science,dataacquisition,clickhouse-tools,16,column-oriented database system (tools)
science,dataacquisition,comedi-source,N/A,N/A
science,dataacquisition,csvkit,8,command-line tools for working with CSV
science,dataacquisition,engauge-digitizer,3,interactively extracts numbers from bitmap graphs or maps
science,dataacquisition,epics,N/A,N/A
science,dataacquisition,filo,N/A,N/A
science,dataacquisition,g3data,1,extract data from scanned graphs
science,dataacquisition,ghkl,5,diffractometer computation control application
science,dataacquisition,gnudatalanguage,28,Free IDL compatible incremental compiler
science,dataacquisition,gpsd,1,Global Positioning System - daemon
science,dataacquisition,hart,N/A,N/A
science,dataacquisition,jaaa,1,audio signal generator and spectrum analyser
science,dataacquisition,ktimetrace,N/A,N/A
science,dataacquisition,libfreenect-dev,ERROR,library for accessing Kinect device -- development files
science,dataacquisition,libgetdata-tools,1,library to read/write dirfile data - extra tools
science,dataacquisition,linux-image-2.6-rt,N/A,N/A
science,dataacquisition,lxi-tools,1,LAN eXtensions for Instrumentation (LXI) software interface
science,dataacquisition,mx-dataacquisition,N/A,N/A
science,dataacquisition,narval-utils,N/A,N/A
science,dataacquisition,netcdf-bin,2,Programs for reading and writing NetCDF files
science,dataacquisition,opendap,N/A,N/A
science,dataacquisition,plot-digitizer,N/A,N/A
science,dataacquisition,python3-pytango,N/A,N/A
science,dataacquisition,python3-pyvisa,1,Python 3 bindings for Virtual Instrument Software Architecture
science,dataacquisition,python3-streamz,11,build pipelines to manage continuous streams of data
science,dataacquisition,python3-taurus,88,Framework for scientific/industrial CLIs and GUIs - Python3
science,dataacquisition,qtdmm,N/A,N/A
science,dataacquisition,rt-tests,1,Test programs for rt kernels
science,dataacquisition,rtai,N/A,N/A
science,dataacquisition,segyio-bin,1,SEG-Y read/write library for seismic processing (shell utilities)
science,dataacquisition,tango-accesscontrol,15,TANGO distributed control system - accesscontrol server
science,dataacquisition,tango-db,15,TANGO distributed control system - database server
science,dataacquisition,tango-starter,4,TANGO distributed control system - starter server
science,dataacquisition,xenomai-runtime,N/A,N/A
science,dataacquisition,xlsx2csv,1,convert xslx files to csv format
science,dataacquisition,xyscan,8,data thief for scientists
science,datamanagement,datalad,ERROR,data files management and distribution platform
science,datamanagement,datalad-container,ERROR,DataLad extension for working with containerized environments
science,datamanagement,git-annex,ERROR,"manage files with git, without checking their contents into git"
science,economics,dolo,N/A,N/A
science,economics,dynare,ERROR,platform for handling a wide class of economic models
science,economics,dynare-matlab,83,MATLAB support for Dynare
science,economics,elpa-ess,2,Emacs mode for statistical programming and data analysis
science,economics,gretl,ERROR,"GNU Regression, Econometric & Time-Series Library"
science,economics,minsky,N/A,N/A
science,economics,netlogo,N/A,N/A
science,economics,octave-econometrics,ERROR,econometrics functions for Octave
science,economics,pksfc,N/A,N/A
science,economics,python3-pandasdmx,N/A,N/A
science,economics,python3-quantecon,N/A,N/A
science,economics,python3-statsmodels,ERROR,Python3 module for the estimation of statistical models
science,economics,r-base,46,GNU R statistical computation and graphics system
science,economics,r-cran-aer,130,Applied Econometrics with R
science,economics,r-cran-bayesm,30,GNU R package for Bayesian inference
science,economics,r-cran-dynlm,120,GNU R package for dynamic linear models and time series regression
science,economics,r-cran-ecdat,N/A,N/A
science,economics,r-cran-fimport,30,GNU R package for financial engineering -- fImport
science,economics,r-cran-fnonlinear,38,GNU R package for financial engineering -- fNonlinear
science,economics,r-cran-foreign,ERROR,GNU R package to read/write data from other stat. systems
science,economics,r-cran-funitroots,38,GNU R package for financial engineering -- fUnitRoots
science,economics,r-cran-gmm,30,GNU R generalized method of moments and generalized empirical likelihood
science,economics,r-cran-hmisc,97,GNU R miscellaneous functions by Frank Harrell
science,economics,r-cran-isocodes,ERROR,GNU R package providing tables for several ISO codes
science,economics,r-cran-lme4,42,GNU R package for linear mixed effects model fitting
science,economics,r-cran-mcmcpack,41,R routines for Markov chain Monte Carlo model estimation
science,economics,r-cran-mfilter,ERROR,GNU R package providing miscellaneous time series filters
science,economics,r-cran-pdfetch,N/A,N/A
science,economics,r-cran-plm,37,GNU R estimators and tests for panel data econometrics
science,economics,r-cran-pwt,ERROR,GNU R package for the Penn World Tables (version 5.6 to 7.1)
science,economics,r-cran-pwt8,ERROR,GNU R package for the Penn World Tables (version 8.x)
science,economics,r-cran-pwt9,ERROR,GNU R package for the Penn World Tables (version 9.x)
science,economics,r-cran-rdbnomics,29,access to hundreds of millions data series from DBnomics API
science,economics,r-cran-rsdmx,32,GNU R package for the Statistical Data and Metadata Exchange (SDMX) framework
science,economics,r-cran-tseries,30,GNU R package for time-series analysis and comp. finance
science,economics,r-cran-urca,29,GNU R package providing unit root and cointegration tests
science,economics,r-cran-vars,N/A,N/A
science,economics,r-cran-wdi,26,GNU R package for accessing the World Development Indicators
science,economics,r-other-bmr,N/A,N/A
science,economics,r-other-gecon,N/A,N/A
science,economics,recs,N/A,N/A
science,economics,repast-hpc,N/A,N/A
science,economics,repast-symphony,N/A,N/A
science,economics,science-financial,1,Debian Science financial engineering and computational finance
science,economics,science-mathematics,1,Debian Science Mathematics packages
science,economics,science-social,N/A,N/A
science,economics,science-statistics,1,Debian Science Statistics packages
science,economics,x13as,2,seasonal adjustment software for modeling time series
science,electronics,electronics-all,1,Default selection of tasks for Debian Electronics
science,electrophysiology,aghermann,4,Sleep-research experiment manager
science,electrophysiology,bluespike,N/A,N/A
science,electrophysiology,chronus,N/A,N/A
